19:36:34.771005 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:61968, sz=66 is delivered
19:36:50.482403 [queue=0] packet #1, 127.0.0.1:61969 -> 127.0.0.1:8007, sz=37 is delivered
19:36:50.506425 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:61969, sz=40 is delivered
19:37:33.164248 [queue=0] packet #1, 127.0.0.1:49977 -> 127.0.0.1:8007, sz=37 is delivered
19:37:33.179261 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:49977, sz=40 is delivered
19:37:43.433385 [queue=0] packet #1, 127.0.0.1:49978 -> 127.0.0.1:8007, sz=37 is delivered
19:37:43.462412 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:49978, sz=13 is delivered
19:37:51.945981 [queue=0] packet #1, 127.0.0.1:49979 -> 127.0.0.1:8007, sz=37 is delivered
19:37:51.967000 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:49979, sz=13 is delivered
19:38:39.594295 [queue=0] packet #1, 127.0.0.1:61532 -> 127.0.0.1:8007, sz=37 is delivered
19:38:39.622321 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:61532, sz=13 is delivered
19:39:29.287029 [queue=0] packet #1, 127.0.0.1:62047 -> 127.0.0.1:8007, sz=67 is delivered
19:39:29.305046 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:62047, sz=44 is delivered
19:39:47.949219 [queue=0] packet #1, 127.0.0.1:62048 -> 127.0.0.1:8007, sz=67 is delivered
19:39:47.981248 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:62048, sz=45 is delivered
19:53:15.533871 config: drop-rate=0.00, max-delay=0s, seed=1584921195532871000
19:53:15.533871 router is listening at :3000
19:55:51.736553 [queue=0] packet #1, 127.0.0.1:58972 -> 127.0.0.1:8007, sz=67 is delivered
19:55:51.790601 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:58972, sz=45 is delivered
16:41:36.474175 config: drop-rate=0.00, max-delay=0s, seed=1584996096474175000
16:41:36.475175 router is listening at :3000
16:41:40.503834 [queue=0] packet #1, 127.0.0.1:55025 -> 127.0.0.1:8007, sz=67 is delivered
16:41:40.577901 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:55025, sz=45 is delivered
16:43:31.402545 [queue=0] packet #1, 127.0.0.1:54850 -> 127.0.0.1:8007, sz=67 is delivered
16:43:31.444583 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:54850, sz=45 is delivered
18:10:00.493149 [queue=0] packet #1, 127.0.0.1:55080 -> 127.0.0.1:8007, sz=42 is delivered
18:10:00.668308 [queue=0] packet #1, 127.0.0.1:55081 -> 127.0.0.1:8007, sz=42 is delivered
18:14:41.362762 [queue=0] packet #1, 127.0.0.1:56023 -> 127.0.0.1:8007, sz=42 is delivered
18:14:41.363763 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:56023, sz=37 is delivered
18:14:41.363763 [queue=0] packet #3, 127.0.0.1:56023 -> 127.0.0.1:8007, sz=67 is delivered
18:14:41.418813 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:56023, sz=45 is delivered
18:29:54.027432 [queue=0] packet #1, 127.0.0.1:52944 -> 127.0.0.1:8007, sz=42 is delivered
18:29:54.028433 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:52944, sz=37 is delivered
18:29:54.029434 [queue=0] packet #3, 127.0.0.1:52944 -> 127.0.0.1:8007, sz=42 is delivered
18:29:54.029434 [queue=0] packet #3, 127.0.0.1:52944 -> 127.0.0.1:8007, sz=67 is delivered
18:33:46.512777 [queue=0] packet #1, 127.0.0.1:59446 -> 127.0.0.1:8007, sz=42 is delivered
18:34:00.044212 [queue=0] packet #1, 127.0.0.1:58542 -> 127.0.0.1:8007, sz=42 is delivered
18:34:00.046214 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:58542, sz=37 is delivered
18:34:00.046214 [queue=0] packet #3, 127.0.0.1:58542 -> 127.0.0.1:8007, sz=42 is delivered
18:34:00.046214 [queue=0] packet #3, 127.0.0.1:58542 -> 127.0.0.1:8007, sz=67 is delivered
18:34:40.485232 [queue=0] packet #1, 127.0.0.1:57534 -> 127.0.0.1:8007, sz=42 is delivered
18:34:58.778738 [queue=0] packet #1, 127.0.0.1:57535 -> 127.0.0.1:8007, sz=42 is delivered
18:34:58.779738 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:57535, sz=37 is delivered
18:34:58.780740 [queue=0] packet #3, 127.0.0.1:57535 -> 127.0.0.1:8007, sz=42 is delivered
18:34:58.780740 [queue=0] packet #3, 127.0.0.1:57535 -> 127.0.0.1:8007, sz=67 is delivered
18:34:58.819775 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:57535, sz=45 is delivered
18:38:02.717193 [queue=0] packet #1, 127.0.0.1:56048 -> 127.0.0.1:8007, sz=42 is delivered
18:38:14.365861 [queue=0] packet #1, 127.0.0.1:56049 -> 127.0.0.1:8007, sz=42 is delivered
18:38:14.367863 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:56049, sz=37 is delivered
18:38:14.367863 [queue=0] packet #3, 127.0.0.1:56049 -> 127.0.0.1:8007, sz=37 is delivered
18:38:14.367863 [queue=0] packet #3, 127.0.0.1:56049 -> 127.0.0.1:8007, sz=67 is delivered
18:38:14.411903 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:56049, sz=45 is delivered
18:39:06.828726 [queue=0] packet #1, 127.0.0.1:54311 -> 127.0.0.1:8007, sz=42 is delivered
18:39:06.829727 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:54311, sz=37 is delivered
18:39:06.830727 [queue=0] packet #3, 127.0.0.1:54311 -> 127.0.0.1:8007, sz=21 is delivered
18:39:06.830727 [queue=0] packet #3, 127.0.0.1:54311 -> 127.0.0.1:8007, sz=67 is delivered
18:39:06.868762 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:54311, sz=45 is delivered
19:06:49.692797 [queue=0] packet #1, 127.0.0.1:57915 -> 127.0.0.1:8007, sz=42 is delivered
19:07:29.410921 config: drop-rate=0.00, max-delay=0s, seed=1585004849409920100
19:07:29.410921 router is listening at :3000
19:07:35.405627 [queue=0] packet #1, 127.0.0.1:64302 -> 127.0.0.1:8007, sz=42 is delivered
19:07:45.431390 [queue=0] packet #1, 127.0.0.1:64303 -> 127.0.0.1:8007, sz=42 is delivered
19:08:00.978206 [queue=0] packet #1, 127.0.0.1:64304 -> 127.0.0.1:8007, sz=42 is delivered
19:08:00.979206 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:64304, sz=37 is delivered
19:08:00.979206 [queue=0] packet #3, 127.0.0.1:64304 -> 127.0.0.1:8007, sz=21 is delivered
19:08:00.979206 [queue=0] packet #3, 127.0.0.1:64304 -> 127.0.0.1:8007, sz=67 is delivered
19:08:01.025249 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:64304, sz=45 is delivered
19:08:21.647687 [queue=0] packet #1, 127.0.0.1:64305 -> 127.0.0.1:8007, sz=42 is delivered
19:08:21.647687 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:64305, sz=37 is delivered
19:08:21.647687 [queue=0] packet #3, 127.0.0.1:64305 -> 127.0.0.1:8007, sz=21 is delivered
19:08:21.647687 [queue=0] packet #3, 127.0.0.1:64305 -> 127.0.0.1:8007, sz=67 is delivered
19:08:21.671709 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:64305, sz=45 is delivered
19:13:31.466824 [queue=0] packet #1, 127.0.0.1:64269 -> 127.0.0.1:8007, sz=42 is delivered
19:13:31.467825 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:64269, sz=37 is delivered
19:13:31.467825 [queue=0] packet #3, 127.0.0.1:64269 -> 127.0.0.1:8007, sz=21 is delivered
19:13:31.467825 [queue=0] packet #4, 127.0.0.1:64269 -> 127.0.0.1:8007, sz=67 is delivered
19:13:31.505859 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:64269, sz=53 is delivered
19:13:43.705939 [queue=0] packet #1, 127.0.0.1:64270 -> 127.0.0.1:8007, sz=42 is delivered
19:13:43.706940 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:64270, sz=37 is delivered
19:13:43.706940 [queue=0] packet #3, 127.0.0.1:64270 -> 127.0.0.1:8007, sz=21 is delivered
19:13:43.706940 [queue=0] packet #4, 127.0.0.1:64270 -> 127.0.0.1:8007, sz=67 is delivered
19:13:43.745975 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:64270, sz=54 is delivered
19:24:14.286845 [queue=0] packet #1, 127.0.0.1:60626 -> 127.0.0.1:8007, sz=42 is delivered
19:24:14.288847 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:60626, sz=37 is delivered
19:24:14.288847 [queue=0] packet #3, 127.0.0.1:60626 -> 127.0.0.1:8007, sz=21 is delivered
19:24:14.288847 [queue=0] packet #4, 127.0.0.1:60626 -> 127.0.0.1:8007, sz=67 is delivered
19:24:14.327882 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:60626, sz=54 is delivered
